Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
6.02559586074355e+01	(8.08193277125733e+01dB,-7.89829693235593e+01°)
6.16595001861479e+01	(8.06269224979796e+01dB,-7.92437533164692e+01°)
6.30957344480190e+01	(8.04341871238160e+01dB,-7.94994086438324e+01°)
6.45654229034652e+01	(8.02411353556086e+01dB,-7.97500341295030e+01°)
6.60693448007593e+01	(8.00477804258276e+01dB,-7.99957282119956e+01°)
6.76082975391978e+01	(7.98541350506608e+01dB,-8.02365888630494e+01°)
6.91830970918933e+01	(7.96602114465030e+01dB,-8.04727135105841e+01°)
7.07945784384134e+01	(7.94660213463007e+01dB,-8.07041989709794e+01°)
7.24435960074986e+01	(7.92715760155616e+01dB,-8.09311413848972e+01°)
7.41310241300914e+01	(7.90768862681562e+01dB,-8.11536361618167e+01°)
7.58577575029180e+01	(7.88819624817488e+01dB,-8.13717779275646e+01°)
7.76247116628688e+01	(7.86868146129705e+01dB,-8.15856604795729e+01°)
7.94328234724277e+01	(7.84914522122156e+01dB,-8.17953767456578e+01°)
8.12830516164095e+01	(7.82958844380967e+01dB,-8.20010187474030e+01°)
8.31763771102667e+01	(7.81001200715726e+01dB,-8.22026775694461e+01°)
8.51138038202372e+01	(7.79041675296760e+01dB,-8.24004433315503e+01°)
8.70963589956076e+01	(7.77080348788933e+01dB,-8.25944051650417e+01°)
8.91250938133741e+01	(7.75117298481637e+01dB,-8.27846511934346e+01°)
9.12010839355905e+01	(7.73152598414994e+01dB,-8.29712685150924e+01°)
9.33254300796986e+01	(7.71186319502472e+01dB,-8.31543431912281e+01°)
9.54992586021431e+01	(7.69218529649527e+01dB,-8.33339602350933e+01°)
9.77237220955805e+01	(7.67249293868684e+01dB,-8.35102036045514e+01°)
9.99999999999995e+01	(7.65278674390777e+01dB,-8.36831561977433e+01°)
1.02329299228075e+02	(7.63306730772633e+01dB,-8.38528998504967e+01°)
1.04712854805089e+02	(7.61333520001073e+01dB,-8.40195153361566e+01°)
1.07151930523760e+02	(7.59359096593415e+01dB,-8.41830823685557e+01°)
1.09647819614318e+02	(7.57383512694246e+01dB,-8.43436796043167e+01°)
1.12201845430196e+02	(7.55406818169152e+01dB,-8.45013846505105e+01°)
1.14815362149688e+02	(7.53429060694582e+01dB,-8.46562740707117e+01°)
1.17489755493952e+02	(7.51450285844838e+01dB,-8.48084233952860e+01°)
1.20226443461741e+02	(7.49470537175457e+01dB,-8.49579071304006e+01°)
1.23026877081237e+02	(7.47489856303745e+01dB,-8.51047987710375e+01°)
1.25892541179416e+02	(7.45508282985931e+01dB,-8.52491708131633e+01°)
1.28824955169313e+02	(7.43525855191599e+01dB,-8.53910947682089e+01°)
1.31825673855640e+02	(7.41542609174988e+01dB,-8.55306411779227e+01°)
1.34896288259165e+02	(7.39558579543449e+01dB,-8.56678796302247e+01°)
1.38038426460288e+02	(7.37573799323267e+01dB,-8.58028787763968e+01°)
1.41253754462275e+02	(7.35588300022678e+01dB,-8.59357063487498e+01°)
1.44543977074592e+02	(7.33602111692283e+01dB,-8.60664291781570e+01°)
